"Wavelength"   "295 K"      "243 K"      "228 K"      "218 K"
  198.4400   3.2774E-19   3.2352E-19   3.2380E-19   3.2477E-19
  198.4500   3.2770E-19   3.2320E-19   3.2383E-19   3.2457E-19
  198.4600   3.2748E-19   3.2309E-19   3.2336E-19   3.2458E-19
  198.4700   3.2735E-19   3.2312E-19   3.2311E-19   3.2469E-19
  198.4800   3.2734E-19   3.2297E-19   3.2312E-19   3.2451E-19
  198.4900   3.2729E-19   3.2295E-19   3.2320E-19   3.2458E-19
  198.5000   3.2719E-19   3.2300E-19   3.2343E-19   3.2487E-19
  198.5100   3.2715E-19   3.2299E-19   3.2346E-19   3.2491E-19
  198.5200   3.2771E-19   3.2274E-19   3.2336E-19   3.2489E-19
  198.5300   3.2774E-19   3.2253E-19   3.2311E-19   3.2468E-19
  198.5400   3.2759E-19   3.2237E-19   3.2277E-19   3.2455E-19
  198.5500   3.2739E-19   3.2228E-19   3.2234E-19   3.2443E-19
  198.5600   3.2748E-19   3.2210E-19   3.2223E-19   3.2432E-19
  198.5700   3.2761E-19   3.2198E-19   3.2223E-19   3.2413E-19
  198.5800   3.2737E-19   3.2186E-19   3.2216E-19   3.2406E-19
  198.5900   3.2727E-19   3.2154E-19   3.2205E-19   3.2379E-19
  198.6000   3.2734E-19   3.2150E-19   3.2211E-19   3.2338E-19
  198.6100   3.2701E-19   3.2147E-19   3.2222E-19   3.2301E-19
  198.6200   3.2630E-19   3.2138E-19   3.2205E-19   3.2264E-19
