ATLAS3-SUSIM  13 Nov 1994.
Wavelength in nm and Irradiance in mW/m2/nm
0.15 nm resolution (FWHM)
 
Wavelength Irradiance
  191.86  4.2080e+00
  191.91  4.2799e+00
  191.96  4.4579e+00
  192.01  4.6261e+00
  192.06  4.7626e+00
  192.11  4.7875e+00
  192.16  4.9061e+00
  192.21  4.8403e+00
  192.26  4.6648e+00
  192.31  4.6654e+00
  192.36  4.5671e+00
  192.41  4.5670e+00
  192.46  4.4508e+00
  192.51  4.4295e+00
  192.56  4.5120e+00
  192.61  4.5992e+00
  192.66  4.4175e+00
  192.71  4.3667e+00
  192.76  4.4525e+00
  192.81  4.6509e+00
  192.86  4.6499e+00
  192.91  4.5248e+00
  192.96  4.3357e+00
  193.01  3.9887e+00
  193.06  3.5145e+00
  193.11  3.2392e+00
  193.16  3.1828e+00
  193.21  3.1474e+00
  193.26  3.2651e+00
  193.31  3.4406e+00
  193.36  3.5416e+00
  193.41  3.5895e+00
  193.46  3.5212e+00
  193.51  3.3736e+00
  193.56  3.2537e+00
  193.61  3.0754e+00
  193.66  2.9882e+00
  193.71  3.2261e+00
  193.76  3.5329e+00
  193.81  3.8263e+00
  193.86  4.4486e+00
  193.91  4.8393e+00
  193.96  4.9754e+00
  194.01  5.0109e+00
  194.06  4.9748e+00
  194.11  5.1775e+00
  194.16  5.5943e+00
  194.21  5.8853e+00
  194.26  6.0240e+00
  194.31  6.0875e+00
  194.36  6.0294e+00
  194.41  5.9091e+00
  194.46  5.6809e+00
  194.51  5.5312e+00
  194.56  5.6466e+00
  194.61  5.4823e+00
  194.66  5.3952e+00
  194.71  5.4037e+00
  194.76  6.0442e+00
  194.81  6.3716e+00
  194.86  6.3289e+00
  194.91  6.2773e+00
  194.96  5.9854e+00
  195.01  5.6632e+00
  195.06  5.5553e+00
  195.11  5.4888e+00
  195.16  5.2373e+00
  195.21  4.9520e+00
  195.26  4.9231e+00
  195.31  5.0264e+00
  195.36  5.7344e+00
  195.41  6.1149e+00
  195.46  6.0185e+00
  195.51  5.7828e+00
  195.56  5.4427e+00
  195.61  5.6614e+00
  195.66  5.9524e+00
  195.71  5.9539e+00
  195.76  5.7043e+00
  195.81  5.4467e+00
  195.86  5.6492e+00
  195.91  5.9155e+00
  195.96  6.1614e+00
  196.01  6.0054e+00
  196.06  5.7305e+00
  196.11  5.5740e+00
  196.16  5.4669e+00
  196.21  5.4724e+00
  196.26  5.5446e+00
  196.31  5.6235e+00
